iter	RMSE
0	215.579536
1	209.7941313
2	204.8911017
3	199.8145447
4	195.2252246
5	190.5490533
6	186.7515265
7	182.9350957
8	179.2729267
9	176.0332418
10	172.7425426
11	169.918441
12	167.3571405
13	165.0422389
14	162.6525493
15	160.7060487
16	158.5032289
17	156.2256832
18	154.3950905
19	152.5446678
20	150.6920575
21	149.1026035
22	147.6498676
23	146.4032211
24	145.1727571
25	144.0105013
26	143.036411
27	142.0633761
28	141.1593657
29	140.0512645
30	139.1800702
31	138.4163977
32	137.5999567
33	136.8648634
34	136.1336583
35	135.7575439
36	135.1671755
37	134.5869336
38	133.9917212
39	133.5121363
40	133.195533
41	132.8792347
42	132.4314453
43	132.0321358
44	131.6429744
45	131.2948829
46	130.9978639
47	130.631168
48	130.3552619
49	130.1576546
50	129.8397231
51	129.5490745
52	129.2947279
53	129.1479625
54	128.9907368
55	128.7279485
56	128.5325905
57	128.4194847
58	128.3143355
59	128.1934583
60	128.022904
61	127.9201202
62	127.6441045
63	127.6232951
64	127.4938435
65	127.3089671
66	127.2069319
67	127.0176239
68	126.6951154
69	126.4316168
70	126.3243635
71	125.9929796
72	125.9024226
73	125.8434532
74	125.7217442
75	125.641695
76	125.5816972
77	125.477529
78	125.2720388
79	125.0554303
80	124.9450794
81	124.8261907
82	124.7840345
83	124.6866899
84	124.6831053
85	124.6442216
86	124.4756028
87	124.3704198
88	124.3539942
89	124.3307578
90	124.3197158
91	124.2635596
92	124.1487424
93	124.1074683
94	123.9887023
95	123.9849243
96	123.7969417
97	123.7483787
98	123.6990521
99	123.666694
100	123.5402379
101	123.4948356
102	123.4151306
103	123.3576784
104	123.3149253
105	123.1644353
106	123.0960052
107	123.0894697
108	123.0846586
109	123.0153973
110	123.0097346
111	123.0097335
112	122.9942968
113	122.987208
114	122.9294087
115	122.8782594
116	122.6387331
117	122.4428043
118	122.3789515
119	122.3789504
120	122.2447745
121	122.1998373
122	122.1288709
123	122.1015025
124	122.0944377
125	121.9901678
126	121.9304848
127	121.7998462
128	121.692381
129	121.6421693
130	121.6299669
131	121.5228672
132	121.5228307
133	121.5210128
134	121.5210122
135	121.5195829
136	121.4710999
137	121.4552402
138	121.4516217
139	121.3818674
140	121.3818673
141	121.3320588
142	121.2670605
143	121.2517693
144	121.2499331
145	121.2493087
146	121.2464853
147	121.2350255
148	121.1916003
149	121.1458798
150	121.0314972
151	120.941044
152	120.8931744
153	120.8500685
154	120.7703506
155	120.7661516
156	120.763055
157	120.6393611
158	120.5807239
159	120.5649456
160	120.5176949
161	120.5019891
162	120.3686732
163	120.3108309
164	120.2340874
165	120.2340874
166	120.0458603
167	120.0150801
168	119.9538791
169	119.9528924
170	119.9081452
171	119.8699628
172	119.7429292
173	119.6926514
174	119.671455
175	119.6709601
176	119.5461016
177	119.4465019
178	119.4267709
179	119.3538022
180	119.3105211
181	119.2283613
182	119.1298259
183	119.0885858
184	119.0356511
185	119.0168439
186	118.9850188
187	118.9655904
188	118.8307517
189	118.8023638
190	118.7774652
191	118.7574398
192	118.7179701
193	118.7036142
194	118.685861
195	118.5981744
196	118.5088448
197	118.4870868
198	118.4339497
199	118.3976479
200	118.3669368
201	118.3430123
202	118.2923785
203	118.2063174
204	118.1579897
205	118.132368
206	118.0891654
207	118.05909
208	118.0345287
209	118.0285027
210	117.9788884
211	117.8366627
212	117.803916
213	117.6938608
214	117.6495966
215	117.579619
216	117.4469054
217	117.4034149
218	117.3293646
219	117.2813538
220	117.2215247
221	117.1821846
222	117.157652
223	117.084875
224	117.0476614
225	116.9873572
226	116.9007622
227	116.8671994
228	116.8397912
229	116.6907191
230	116.6738175
231	116.6150483
232	116.5774622
233	116.5280878
234	116.4552932
235	116.4313116
236	116.3753956
237	116.3086017
238	116.2828806
239	116.2412036
240	116.1770963
241	116.1553647
242	116.1222417
243	116.086483
244	116.04613
245	115.9937905
246	115.9799465
247	115.9423137
248	115.8117877
249	115.6907129
250	115.6794615
251	115.6565577
252	115.6300356
253	115.5703373
254	115.5014214
255	115.4470519
256	115.4223085
257	115.3493693
258	115.3141527
259	115.301945
260	115.282508
261	115.2568953
262	115.2298054
263	115.1846513
264	115.1471325
265	115.1235074
266	115.064302
267	115.0385612
268	115.015411
269	114.9760213
270	114.9462743
271	114.8854678
272	114.8250377
273	114.7284639
274	114.6292249
275	114.5907675
276	114.5798936
277	114.5410453
278	114.5205339
279	114.5059574
280	114.4740079
281	114.4276525
282	114.3944319
283	114.3512184
284	114.3039584
285	114.2456646
286	114.2359904
287	114.1881917
288	114.175793
289	114.1582133
290	114.1209277
291	114.0845685
292	114.0707524
293	114.0058756
294	113.9816717
295	113.9638309
296	113.9556768
297	113.8753138
298	113.8596322
299	113.8230859
300	113.7938596
301	113.7577444
302	113.7269326
303	113.6944884
304	113.6856941
305	113.6608637
306	113.5830167
307	113.528754
308	113.4979758
309	113.470924
310	113.4208648
311	113.3940465
312	113.372101
313	113.3433221
314	113.2972457
315	113.2678552
316	113.2101873
317	113.1699662
318	113.1464223
319	113.1234089
320	113.0670815
321	113.0323045
322	113.0248983
323	113.015944
324	113.0081473
325	112.9968631
326	112.9759786
327	112.9448894
328	112.9035973
329	112.8929589
330	112.8646148
331	112.8540179
332	112.8358758
333	112.7793795
334	112.7656668
335	112.7439745
336	112.7142638
337	112.6948115
338	112.6423062
339	112.6089549
340	112.5856014
341	112.5439727
342	112.5042605
343	112.4500512
344	112.4434895
345	112.4272895
346	112.3984469
347	112.3810115
348	112.2785685
349	112.2564705
350	112.1996763
351	112.1506043
352	112.1322697
353	112.1230311
354	112.096875
355	112.0582204
356	112.0012248
357	111.9663045
358	111.8802689
359	111.8643612
360	111.8556584
361	111.8358622
362	111.8230126
363	111.8100112
364	111.8045844
365	111.7926826
366	111.7837196
367	111.7690086
368	111.7238859
369	111.715262
370	111.6904477
371	111.6815501
372	111.6401644
373	111.6342924
374	111.6227877
375	111.6011792
376	111.5593567
377	111.5489942
378	111.5330446
379	111.5172968
380	111.4995469
381	111.4802663
382	111.4543196
383	111.4423112
384	111.4089207
385	111.2865844
386	111.2756105
387	111.213356
388	111.1927358
389	111.1411681
390	111.0278133
391	110.997224
392	110.9582624
393	110.9082549
394	110.8995086
395	110.849189
396	110.8323417
397	110.8098236
398	110.7990653
399	110.763425
400	110.7588381
401	110.7553894
402	110.7208265
403	110.667184
404	110.6588435
405	110.5712561
406	110.5633343
407	110.5465923
408	110.5348772
409	110.5273213
410	110.4764433
411	110.4505561
412	110.4333439
413	110.4253006
414	110.3930335
415	110.3775331
416	110.312711
417	110.288545
418	110.2779185
419	110.2416004
420	110.2204391
421	110.2106301
422	110.2070644
423	110.1983833
424	110.1837957
425	110.1669868
426	110.1472127
427	110.0785075
428	110.0727603
429	110.0569868
430	109.9989272
431	109.9539018
432	109.9408928
433	109.9105592
434	109.9020062
435	109.8906556
436	109.8818734
437	109.8748173
438	109.8545799
439	109.7977692
440	109.744095
441	109.732057
442	109.7110909
443	109.6878205
444	109.6663785
445	109.648333
446	109.6221863
447	109.5720665
448	109.5527171
449	109.537692
450	109.5324529
451	109.5246634
452	109.5103631
453	109.4871214
454	109.4794218
455	109.4680262
456	109.4507871
457	109.4449967
458	109.3938075
459	109.3455496
460	109.3087531
461	109.2994082
462	109.2771067
463	109.2606477
464	109.2076509
465	109.2014589
466	109.1519497
467	109.1368738
468	109.1119829
469	109.0803816
470	109.0557826
471	109.0485473
472	109.0396561
473	109.0093821
474	108.9864671
475	108.9461122
476	108.9220666
477	108.883714
478	108.8749766
479	108.8650605
480	108.7619083
481	108.7460977
482	108.6956312
483	108.6751115
484	108.6565926
485	108.6165395
486	108.6099022
487	108.5905997
488	108.5489145
489	108.5104678
490	108.5025325
491	108.4781722
492	108.4603925
493	108.4495863
494	108.4364274
495	108.421093
496	108.3894866
497	108.3800995
498	108.3605753
499	108.3431154
