iter	Passed	Remaining
0	40	20292
1	85	21212
2	114	18989
3	161	20076
4	198	19672
5	243	20024
6	279	19712
7	318	19574
8	358	19555
9	398	19540
10	440	19569
11	480	19529
12	517	19383
13	560	19472
14	598	19363
15	624	18887
16	662	18826
17	706	18924
18	737	18672
19	774	18586
20	819	18703
21	857	18627
22	898	18632
23	926	18378
24	967	18389
25	1012	18451
26	1051	18428
27	1086	18318
28	1121	18208
29	1163	18229
30	1201	18176
31	1241	18152
32	1283	18166
33	1326	18185
34	1367	18165
35	1388	17898
36	1432	17927
37	1478	17969
38	1521	17990
39	1565	18008
40	1602	17935
41	1631	17793
42	1678	17844
43	1729	17928
44	1782	18018
45	1833	18095
46	1887	18194
47	1930	18180
48	1975	18178
49	2025	18228
50	2070	18228
51	2118	18250
52	2164	18254
53	2189	18084
54	2228	18032
55	2271	18006
56	2310	17960
57	2351	17916
58	2390	17870
59	2437	17872
60	2489	17916
61	2522	17821
62	2567	17809
63	2582	17592
64	2622	17547
65	2661	17498
66	2702	17465
67	2743	17426
68	2781	17372
69	2825	17354
70	2864	17310
71	2903	17261
72	2946	17235
73	2984	17179
74	3026	17149
75	3069	17124
76	3108	17077
77	3151	17048
78	3195	17029
79	3237	16995
80	3281	16974
81	3322	16934
82	3360	16883
83	3403	16855
84	3414	16671
85	3453	16622
86	3492	16578
87	3535	16554
88	3565	16463
89	3602	16411
90	3618	16264
91	3661	16236
92	3699	16192
93	3742	16166
94	3784	16133
95	3806	16017
96	3842	15963
97	3884	15934
98	3923	15892
99	3960	15843
100	3992	15772
101	4033	15738
102	4078	15721
103	4119	15687
104	4157	15639
105	4204	15628
106	4250	15612
107	4271	15505
108	4295	15407
109	4335	15372
110	4351	15249
111	4356	15091
112	4386	15023
113	4410	14933
114	4447	14889
115	4499	14896
116	4538	14856
117	4577	14817
118	4610	14761
119	4615	14617
120	4659	14594
121	4698	14556
122	4737	14521
123	4775	14479
124	4806	14419
125	4847	14387
126	4882	14340
127	4921	14303
128	4961	14268
129	5006	14248
130	5033	14177
131	5074	14147
132	5083	14027
133	5103	13939
134	5109	13814
135	5127	13723
136	5165	13686
137	5204	13652
138	5222	13563
139	5265	13541
140	5272	13425
141	5314	13398
142	5353	13363
143	5379	13299
144	5391	13199
145	5406	13108
146	5420	13016
147	5454	12973
148	5492	12938
149	5528	12900
150	5564	12860
151	5605	12832
152	5644	12801
153	5683	12769
154	5720	12732
155	5748	12676
156	5767	12600
157	5807	12570
158	5847	12540
159	5875	12485
160	5909	12443
161	5948	12410
162	5989	12382
163	6025	12344
164	6064	12313
165	6072	12218
166	6111	12185
167	6147	12148
168	6185	12115
169	6195	12025
170	6231	11990
171	6271	11959
172	6306	11921
173	6342	11882
174	6379	11848
175	6390	11763
176	6425	11725
177	6467	11699
178	6506	11668
179	6547	11639
180	6585	11607
181	6622	11571
182	6659	11536
183	6698	11503
184	6737	11472
185	6776	11439
186	6830	11432
187	6871	11403
188	6908	11367
189	6948	11337
190	6988	11305
191	7023	11266
192	7064	11236
193	7101	11201
194	7140	11168
195	7177	11132
196	7214	11096
197	7254	11065
198	7300	11043
199	7338	11007
200	7379	10978
201	7418	10944
202	7457	10910
203	7501	10884
204	7543	10855
205	7581	10820
206	7618	10783
207	7661	10755
208	7705	10729
209	7745	10695
210	7784	10661
211	7822	10627
212	7864	10597
213	7903	10562
214	7939	10524
215	7976	10488
216	8016	10454
217	8062	10429
218	8101	10395
219	8142	10363
220	8186	10334
221	8226	10301
222	8268	10270
223	8308	10237
224	8346	10201
225	8392	10175
226	8430	10138
227	8470	10104
228	8517	10080
229	8552	10040
230	8596	10010
231	8632	9972
232	8676	9942
233	8714	9906
234	8751	9868
235	8795	9839
236	8836	9805
237	8876	9771
238	8917	9738
239	8957	9704
240	8997	9669
241	9039	9636
242	9077	9600
243	9115	9564
244	9156	9529
245	9207	9507
246	9295	9521
247	9349	9500
248	9409	9484
249	9448	9448
250	9491	9416
251	9530	9378
252	9567	9340
253	9603	9301
254	9641	9263
255	9680	9226
256	9720	9191
257	9759	9154
258	9802	9121
259	9838	9081
260	9875	9043
261	9913	9005
262	9950	8967
263	9988	8929
264	10025	8890
265	10068	8856
266	10105	8818
267	10142	8779
268	10187	8748
269	10230	8715
270	10267	8676
271	10305	8638
272	10347	8604
273	10386	8566
274	10426	8530
275	10469	8497
276	10508	8459
277	10544	8420
278	10589	8387
279	10634	8355
280	10669	8315
281	10716	8284
282	10759	8250
283	10804	8217
284	10859	8192
285	10911	8164
286	10961	8135
287	11008	8103
288	11055	8071
289	11102	8039
290	11152	8010
291	11210	7985
292	11267	7960
293	11321	7932
294	11376	7905
295	11430	7877
296	11483	7849
297	11539	7821
298	11596	7795
299	11651	7767
300	11703	7737
301	11753	7706
302	11801	7673
303	11854	7643
304	11907	7612
305	11963	7584
306	12020	7556
307	12080	7530
308	12133	7499
309	12188	7470
310	12241	7439
311	12293	7407
312	12339	7372
313	12382	7335
314	12422	7295
315	12461	7256
316	12500	7216
317	12541	7177
318	12584	7140
319	12627	7102
320	12664	7061
321	12700	7020
322	12738	6980
323	12776	6940
324	12817	6901
325	12854	6860
326	12898	6824
327	12939	6785
328	12980	6746
329	13016	6705
330	13055	6666
331	13093	6625
332	13129	6584
333	13166	6543
334	13203	6502
335	13244	6464
336	13288	6427
337	13324	6386
338	13363	6346
339	13408	6309
340	13453	6273
341	13493	6233
342	13531	6193
343	13574	6155
344	13612	6115
345	13651	6076
346	13691	6036
347	13731	5997
348	13772	5958
349	13814	5920
350	13891	5896
351	13941	5861
352	14004	5831
353	14066	5801
354	14114	5765
355	14159	5727
356	14212	5692
357	14257	5655
358	14301	5617
359	14346	5579
360	14390	5540
361	14437	5503
362	14485	5466
363	14524	5426
364	14571	5389
365	14618	5352
366	14661	5313
367	14705	5274
368	14750	5236
369	14793	5197
370	14839	5159
371	14887	5122
372	14935	5085
373	14981	5047
374	15028	5009
375	15081	4973
376	15127	4935
377	15169	4896
378	15214	4857
379	15258	4818
380	15308	4781
381	15361	4745
382	15425	4712
383	15469	4673
384	15520	4636
385	15592	4604
386	15637	4566
387	15681	4526
388	15730	4488
389	15773	4448
390	15815	4408
391	15870	4372
392	15934	4338
393	15986	4300
394	16037	4263
395	16099	4228
396	16192	4201
397	16282	4172
398	16358	4140
399	16431	4107
400	16518	4078
401	16574	4040
402	16627	4002
403	16686	3965
404	16743	3927
405	16795	3888
406	16838	3847
407	16885	3807
408	16925	3765
409	16969	3724
410	17011	3683
411	17055	3642
412	17095	3601
413	17134	3559
414	17174	3517
415	17211	3475
416	17245	3432
417	17286	3391
418	17323	3348
419	17363	3307
420	17400	3265
421	17435	3222
422	17479	3181
423	17525	3141
424	17573	3101
425	17641	3064
426	17699	3025
427	17757	2987
428	17815	2948
429	17872	2909
430	17917	2868
431	17962	2827
432	18014	2787
433	18065	2747
434	18109	2706
435	18153	2664
436	18198	2623
437	18241	2582
438	18286	2541
439	18335	2500
440	18383	2459
441	18431	2418
442	18476	2377
443	18522	2336
444	18564	2294
445	18603	2252
446	18639	2210
447	18680	2168
448	18725	2126
449	18773	2085
450	18817	2044
451	18864	2003
452	18905	1961
453	18950	1920
454	18994	1878
455	19040	1837
456	19076	1794
457	19108	1752
458	19140	1709
459	19172	1667
460	19212	1625
461	19247	1583
462	19285	1541
463	19324	1499
464	19358	1457
465	19391	1414
466	19423	1372
467	19454	1330
468	19486	1287
469	19521	1246
470	19551	1203
471	19582	1161
472	19611	1119
473	19641	1077
474	19671	1035
475	19709	993
476	19756	952
477	19801	911
478	19853	870
479	19889	828
480	19922	786
481	19960	745
482	20028	704
483	20079	663
484	20122	622
485	20163	580
486	20202	539
487	20240	497
488	20278	456
489	20314	414
490	20353	373
491	20393	331
492	20426	290
493	20459	248
494	20494	207
495	20528	165
496	20562	124
497	20597	82
498	20633	41
499	20666	0
