iter	Passed	Remaining
0	50	25289
1	94	23643
2	125	20760
3	162	20174
4	206	20421
5	246	20309
6	278	19626
7	319	19657
8	359	19608
9	401	19685
10	435	19364
11	475	19341
12	517	19376
13	554	19232
14	593	19190
15	616	18648
16	658	18715
17	696	18649
18	722	18295
19	762	18298
20	804	18341
21	839	18237
22	878	18219
23	912	18101
24	949	18048
25	988	18025
26	1022	17917
27	1059	17865
28	1090	17707
29	1132	17739
30	1170	17706
31	1208	17673
32	1253	17740
33	1294	17741
34	1335	17738
35	1352	17437
36	1391	17408
37	1427	17357
38	1468	17355
39	1505	17315
40	1536	17196
41	1560	17020
42	1601	17020
43	1641	17008
44	1681	16999
45	1721	16994
46	1758	16951
47	1797	16925
48	1832	16870
49	1872	16856
50	1912	16840
51	1950	16801
52	1992	16801
53	2015	16649
54	2054	16622
55	2093	16602
56	2131	16565
57	2171	16547
58	2208	16510
59	2247	16480
60	2285	16448
61	2319	16385
62	2359	16365
63	2378	16203
64	2416	16173
65	2459	16175
66	2497	16140
67	2532	16091
68	2572	16071
69	2612	16048
70	2650	16012
71	2687	15973
72	2725	15940
73	2768	15940
74	2806	15905
75	2843	15865
76	2882	15836
77	2928	15841
78	2965	15805
79	3005	15778
80	3042	15736
81	3077	15687
82	3113	15641
83	3152	15613
84	3161	15436
85	3198	15397
86	3235	15357
87	3270	15311
88	3296	15221
89	3333	15186
90	3349	15054
91	3382	15002
92	3417	14957
93	3453	14915
94	3489	14877
95	3509	14767
96	3545	14731
97	3583	14698
98	3618	14655
99	3652	14611
100	3679	14536
101	3715	14499
102	3753	14469
103	3787	14420
104	3824	14389
105	3860	14349
106	3897	14316
107	3918	14221
108	3939	14131
109	3974	14092
110	3990	13983
111	3995	13840
112	4025	13786
113	4046	13699
114	4079	13657
115	4118	13633
116	4158	13612
117	4192	13572
118	4220	13511
119	4224	13377
120	4261	13348
121	4303	13333
122	4338	13296
123	4373	13262
124	4401	13204
125	4437	13170
126	4472	13136
127	4513	13117
128	4552	13093
129	4587	13055
130	4613	12995
131	4649	12962
132	4657	12852
133	4675	12771
134	4682	12659
135	4697	12573
136	4730	12534
137	4768	12509
138	4788	12435
139	4819	12393
140	4826	12288
141	4868	12273
142	4916	12272
143	4949	12235
144	4961	12148
145	4980	12075
146	4996	11997
147	5035	11976
148	5068	11940
149	5103	11908
150	5142	11886
151	5183	11866
152	5216	11830
153	5252	11801
154	5290	11774
155	5317	11726
156	5338	11662
157	5373	11631
158	5410	11604
159	5439	11559
160	5472	11522
161	5511	11498
162	5548	11470
163	5586	11446
164	5620	11410
165	5626	11320
166	5662	11291
167	5694	11252
168	5731	11226
169	5742	11146
170	5778	11116
171	5814	11087
172	5849	11057
173	5885	11027
174	5923	11001
175	5932	10920
176	5969	10892
177	6002	10858
178	6040	10832
179	6076	10801
180	6110	10770
181	6145	10738
182	6181	10708
183	6213	10671
184	6253	10648
185	6288	10616
186	6329	10594
187	6383	10593
188	6438	10595
189	6505	10614
190	6562	10617
191	6603	10592
192	6640	10563
193	6673	10526
194	6710	10495
195	6746	10463
196	6784	10435
197	6822	10405
198	6859	10375
199	6893	10340
200	6933	10314
201	6970	10283
202	7008	10254
203	7047	10225
204	7090	10202
205	7123	10166
206	7158	10132
207	7197	10104
208	7230	10067
209	7263	10030
210	7296	9994
211	7334	9963
212	7371	9932
213	7408	9901
214	7441	9864
215	7480	9835
216	7514	9799
217	7548	9764
218	7588	9737
219	7624	9703
220	7664	9676
221	7700	9643
222	7737	9610
223	7772	9576
224	7812	9548
225	7847	9514
226	7887	9485
227	7922	9450
228	7961	9422
229	7999	9391
230	8038	9360
231	8076	9329
232	8116	9301
233	8154	9269
234	8191	9237
235	8232	9209
236	8271	9178
237	8311	9150
238	8348	9116
239	8384	9083
240	8423	9052
241	8462	9021
242	8498	8988
243	8535	8954
244	8578	8928
245	8618	8899
246	8657	8867
247	8698	8838
248	8737	8807
249	8776	8776
250	8815	8745
251	8852	8711
252	8896	8685
253	8935	8653
254	8971	8620
255	9013	8590
256	9051	8558
257	9099	8535
258	9141	8505
259	9182	8475
260	9221	8444
261	9257	8409
262	9295	8376
263	9340	8349
264	9382	8320
265	9422	8289
266	9464	8258
267	9500	8224
268	9535	8188
269	9574	8156
270	9614	8124
271	9653	8091
272	9690	8057
273	9729	8024
274	9768	7992
275	9807	7959
276	9848	7928
277	9886	7894
278	9934	7869
279	9976	7838
280	10015	7805
281	10053	7772
282	10094	7740
283	10130	7704
284	10171	7673
285	10214	7642
286	10252	7608
287	10288	7573
288	10326	7539
289	10364	7505
290	10406	7473
291	10446	7441
292	10480	7404
293	10518	7370
294	10557	7336
295	10601	7306
296	10641	7273
297	10678	7238
298	10718	7205
299	10753	7169
300	10795	7137
301	10834	7103
302	10872	7068
303	10911	7035
304	10947	6999
305	10989	6967
306	11029	6933
307	11064	6897
308	11107	6865
309	11145	6830
310	11186	6798
311	11226	6764
312	11262	6728
313	11302	6695
314	11340	6660
315	11380	6626
316	11417	6591
317	11458	6557
318	11495	6522
319	11532	6487
320	11571	6452
321	11610	6418
322	11653	6385
323	11688	6349
324	11727	6314
325	11765	6279
326	11802	6244
327	11843	6210
328	11879	6174
329	11920	6140
330	11957	6105
331	11994	6069
332	12039	6038
333	12075	6001
334	12118	5968
335	12156	5933
336	12194	5898
337	12235	5864
338	12272	5828
339	12312	5794
340	12347	5757
341	12387	5722
342	12425	5687
343	12466	5653
344	12504	5617
345	12543	5582
346	12585	5549
347	12621	5512
348	12656	5475
349	12697	5441
350	12735	5406
351	12772	5370
352	12812	5335
353	12854	5301
354	12892	5266
355	12931	5230
356	12971	5195
357	13007	5159
358	13045	5123
359	13081	5087
360	13114	5049
361	13148	5012
362	13184	4975
363	13226	4941
364	13263	4905
365	13295	4867
366	13335	4832
367	13372	4796
368	13408	4760
369	13444	4723
370	13478	4686
371	13527	4654
372	13562	4617
373	13596	4580
374	13635	4545
375	13670	4508
376	13707	4472
377	13748	4437
378	13780	4399
379	13815	4362
380	13854	4327
381	13889	4290
382	13925	4253
383	13961	4217
384	13999	4181
385	14035	4145
386	14069	4108
